MSOA code,MSOA name,Log odds,Prevalence,Rank in London   1 = highest 983 = lowest,Rank in England  1 = highest 6791 = lowest,"London Decile, 1=most lonely",
E02000002,Barking and Dagenham 001,-3.523,2.865,165,845,2,
E02000003,Barking and Dagenham 002,-3.685,2.449,357,1666,4,
E02000004,Barking and Dagenham 003,-3.770,2.253,459,2202,5,
E02000005,Barking and Dagenham 004,-3.576,2.722,219,1101,3,
E02000007,Barking and Dagenham 006,-3.440,3.107,86,493,1,
E02000008,Barking and Dagenham 007,-3.352,3.385,35,235,1,
E02000009,Barking and Dagenham 008,-3.453,3.069,98,542,1,
E02000010,Barking and Dagenham 009,-3.491,2.957,129,697,2,
E02000011,Barking and Dagenham 010,-3.938,1.912,668,3398,7,
E02000012,Barking and Dagenham 011,-3.768,2.258,454,2180,5,
E02000013,Barking and Dagenham 012,-3.467,3.025,110,604,2,
E02000014,Barking and Dagenham 013,-3.657,2.516,316,1503,4,
E02000015,Barking and Dagenham 014,-3.351,3.388,34,233,1,
E02000016,Barking and Dagenham 015,-3.521,2.871,159,832,2,
E02000017,Barking and Dagenham 016,-3.743,2.313,417,2010,5,
E02000018,Barking and Dagenham 017,-3.409,3.201,67,380,1,
E02000019,Barking and Dagenham 018,-3.559,2.768,202,1019,3,
E02000020,Barking and Dagenham 019,-3.295,3.575,21,149,1,
E02000021,Barking and Dagenham 020,-3.614,2.623,268,1287,3,
E02000022,Barking and Dagenham 021,-3.261,3.694,11,102,1,
E02000023,Barking and Dagenham 022,-3.440,3.107,85,491,1,
E02006799,Barking and Dagenham 023,-3.426,3.149,77,441,1,
E02000024,Barnet 001,-4.084,1.656,834,4556,9,
E02000025,Barnet 002,-3.870,2.044,589,2899,6,
E02000026,Barnet 003,-4.119,1.601,860,4847,9,
E02000027,Barnet 004,-3.912,1.960,639,3185,7,
E02000028,Barnet 005,-4.235,1.427,933,5736,10,
E02000029,Barnet 006,-3.897,1.991,624,3078,7,
E02000030,Barnet 007,-4.140,1.567,876,5033,9,
E02000031,Barnet 008,-4.128,1.586,867,4924,9,
E02000032,Barnet 009,-4.183,1.503,905,5349,10,
E02000033,Barnet 010,-3.932,1.922,660,3346,7,
E02000034,Barnet 011,-4.042,1.725,800,4221,9,
E02000035,Barnet 012,-3.965,1.861,709,3614,8,
E02000036,Barnet 013,-3.988,1.820,735,3762,8,
E02000037,Barnet 014,-4.003,1.793,759,3912,8,
E02000038,Barnet 015,-3.974,1.844,721,3675,8,
E02000039,Barnet 016,-4.224,1.443,929,5661,10,
E02000040,Barnet 017,-3.956,1.878,690,3534,8,
E02000041,Barnet 018,-3.962,1.867,699,3580,8,
E02000042,Barnet 019,-3.786,2.218,478,2304,5,
E02000043,Barnet 020,-4.179,1.508,901,5322,10,
E02000044,Barnet 021,-3.875,2.034,594,2932,7,
E02000045,Barnet 022,-3.770,2.254,457,2194,5,
E02000046,Barnet 023,-4.078,1.666,826,4502,9,
E02000047,Barnet 024,-3.658,2.513,321,1512,4,
E02000048,Barnet 025,-4.083,1.657,832,4551,9,
E02000049,Barnet 026,-3.780,2.232,475,2271,5,
E02000050,Barnet 027,-3.801,2.187,495,2394,6,
E02000051,Barnet 028,-4.000,1.799,752,3880,8,
E02000052,Barnet 029,-3.754,2.289,432,2076,5,
E02000053,Barnet 030,-3.890,2.004,611,3022,7,
E02000054,Barnet 031,-4.120,1.598,863,4857,9,
E02000055,Barnet 032,-3.892,1.999,615,3041,7,
E02000056,Barnet 033,-4.319,1.314,961,6256,10,
E02000057,Barnet 034,-4.012,1.778,766,3965,8,
E02000058,Barnet 035,-4.127,1.587,866,4917,9,
E02000059,Barnet 036,-3.769,2.255,456,2188,5,
E02000060,Barnet 037,-3.890,2.003,612,3025,7,
E02000061,Barnet 038,-4.197,1.482,911,5459,10,
E02000062,Barnet 039,-3.610,2.634,264,1268,3,
E02000063,Barnet 040,-3.961,1.869,696,3569,8,
E02000064,Barnet 041,-3.820,2.146,531,2558,6,
E02000065,Bexley 001,-3.866,2.050,586,2883,6,
E02000066,Bexley 002,-3.598,2.664,251,1216,3,
E02000067,Bexley 003,-3.604,2.651,259,1239,3,
E02000068,Bexley 004,-3.589,2.689,237,1172,3,
E02000069,Bexley 005,-3.896,1.991,623,3076,7,
E02000070,Bexley 006,-3.919,1.947,647,3238,7,
E02000071,Bexley 007,-3.889,2.006,610,3013,7,
E02000072,Bexley 008,-3.648,2.538,305,1462,4,
E02000073,Bexley 009,-4.081,1.661,829,4527,9,
E02000074,Bexley 010,-3.595,2.674,247,1200,3,
E02000075,Bexley 011,-4.095,1.638,845,4651,9,
E02000077,Bexley 013,-4.003,1.793,760,3913,8,
E02000078,Bexley 014,-4.134,1.576,872,4978,9,
E02000079,Bexley 015,-3.852,2.080,567,2776,6,
E02000080,Bexley 016,-3.995,1.807,743,3830,8,
E02000081,Bexley 017,-3.844,2.095,552,2715,6,
E02000082,Bexley 018,-4.047,1.718,804,4258,9,
E02000083,Bexley 019,-3.742,2.317,414,1998,5,
E02000084,Bexley 020,-4.119,1.600,862,4850,9,
E02000085,Bexley 021,-3.945,1.899,677,3454,7,
E02000086,Bexley 022,-4.239,1.422,936,5769,10,
E02000087,Bexley 023,-4.180,1.507,902,5326,10,
E02000088,Bexley 024,-4.177,1.511,899,5306,10,
E02000089,Bexley 025,-4.164,1.531,890,5204,10,
E02000090,Bexley 026,-3.809,2.169,511,2456,6,
E02000091,Bexley 027,-3.833,2.118,541,2638,6,
E02000092,Bexley 028,-3.712,2.384,387,1832,4,
