Geography2,Area Code3,Area,Pre 1900,1900 to 1918,1919 to 1929,1930 to 1939,1945 to 1954,1955 to 1964,1965 to 1972,1973 to 1982,1983 to 1992,1993 to 1999,2000 to 2009,2010 to 2012,Unknown1,Total
REGN,E12000007,LONDON,"779,990","311,380","236,830","610,700","193,650","244,360","222,440","215,410","158,490","123,840","233,030","91,180","34,460",3455750.00 
LAU1,E13000001,Inner London,"545,650","101,810","48,640","96,470","70,400","101,460","98,850","97,150","60,760","57,030","121,250","48,240","26,130",1473830.00 
LAU2,E09000007,Camden,"50,240","3,940","2,880","6,910","3,750","7,620","7,670","7,480","3,050","3,320","5,540","2,070",960,105430.00 
MSOA,E02000166,Camden 001,"1,190",130,"1,150",190,40,80,70,660,70,10,50,0,120,3740.00 
LSOA,E01000907,Camden 001A,190,0,0,20,0,0,20,370,20,0,0,0,0,620.00 
LSOA,E01000908,Camden 001B,120,0,720,0,0,0,0,30,0,0,0,0,0,880.00 
LSOA,E01000909,Camden 001C,180,80,220,50,20,50,20,30,20,0,0,0,0,670.00 
LSOA,E01000912,Camden 001D,360,40,50,40,20,0,20,170,0,0,10,0,20,730.00 
LSOA,E01000913,Camden 001E,340,0,160,70,10,20,10,70,30,10,40,0,90,840.00 
MSOA,E02000167,Camden 002,"2,710",130,50,240,150,110,190,50,80,70,50,0,40,3860.00 
LSOA,E01000893,Camden 002A,650,0,0,40,0,30,10,10,0,0,10,0,0,750.00 
LSOA,E01000894,Camden 002B,460,60,0,20,0,20,40,10,40,0,0,0,10,670.00 
LSOA,E01000895,Camden 002C,460,0,30,140,130,20,120,10,0,0,0,0,10,910.00 
LSOA,E01000896,Camden 002D,640,30,20,20,10,10,10,20,10,0,0,0,10,770.00 
LSOA,E01000899,Camden 002E,490,40,10,30,10,30,10,10,20,70,30,0,20,770.00 
MSOA,E02000168,Camden 003,"2,510",150,10,130,40,190,300,20,20,60,100,10,60,3600.00 
LSOA,E01000910,Camden 003A,460,0,0,10,0,30,60,10,10,0,0,0,20,600.00 
LSOA,E01000911,Camden 003B,400,0,0,130,0,90,40,0,10,0,0,0,0,670.00 
LSOA,E01000921,Camden 003C,750,50,0,0,30,40,10,0,0,30,50,10,10,980.00 
LSOA,E01000923,Camden 003D,490,90,0,0,0,20,0,10,0,10,30,0,0,670.00 
LSOA,E01000928,Camden 003E,400,10,0,0,10,20,190,0,0,10,20,0,30,680.00 
MSOA,E02000169,Camden 004,"1,630",300,350,170,10,190,30,100,150,120,180,10,30,3270.00 
LSOA,E01000878,Camden 004A,180,30,80,60,0,60,0,0,40,10,150,0,0,610.00 
LSOA,E01000879,Camden 004B,540,10,10,20,10,0,10,40,10,10,0,0,10,670.00 
LSOA,E01000880,Camden 004C,500,10,70,30,0,10,10,0,0,30,10,0,0,680.00 
LSOA,E01000884,Camden 004D,230,170,190,40,0,10,0,0,20,0,10,0,10,670.00 
LSOA,E01000885,Camden 004E,180,70,10,10,0,110,10,60,90,70,20,0,10,630.00 
MSOA,E02000170,Camden 005,"2,490",360,350,70,60,50,20,10,140,80,40,90,10,3760.00 
LSOA,E01000871,Camden 005A,230,100,170,10,30,0,0,0,70,0,0,70,10,690.00 
LSOA,E01000872,Camden 005B,750,20,10,0,20,30,0,0,50,10,10,0,0,900.00 
LSOA,E01000873,Camden 005C,610,70,0,0,10,0,10,0,0,10,0,10,0,720.00 
LSOA,E01000874,Camden 005D,350,130,140,50,0,20,0,0,0,0,0,0,0,700.00 
